Author,Betweenness,Cluster_Rank,Coreness,Decay,Degree,Diffusion,Dispersion,Eccentricity,Eigenvector,EvidentialSemiLocal,Harmonic,Katz,Load,Local_Structural,PageRank,Percolation,Radiality,SecondOrder,Semi_Local,Subgraph,VoteRank,Closeness,Class
S Fels,0,0,1,3060.65625,1.903456677326024e-05,3596.9301250000008,0,8,5.841557617022102e-05,5834.300430711944,12163.338095239957,0.001840483,0,0,6.451758773294291e-06,0,0.6131753434218458,0.6066496705818621,5856,7.233196823876898e-05,0,0.2265058217550872,Nonawardee
At Korenberg,0,3.806913354652048e-05,2,3061.65625,3.806913354652048e-05,3914.432750000001,0,8,6.295981807000028e-05,5836.198251253666,12164.838095239957,0.001861658,0,2,9.826389786727076e-06,0,0.6131864471304844,0.6070650300166277,5859,0.000118366,0,0.22651365332631188,Nonawardee
L Saul,0,3.806913354652048e-05,2,3068.5,3.806913354652048e-05,3735.7223750000003,0,8,6.016509796947867e-05,5887.722775832543,12175.20476190661,0.001859055,0,2,1.0373608556745258e-05,0,0.6134814885314552,0.6057487212466905,5910,7.695109693964155e-05,0,0.22672194792172043,Nonawardee
Yw Teh…,0,3.806913354652048e-05,2,3061.15625,3.806913354652048e-05,3711.7715000000007,0,8,5.914093377239736e-05,5824.732466270565,12164.171428573289,0.001858927,0,2,1.0306815052520068e-05,0,0.6131801021541194,0.6068469047604289,5847,7.968003994437768e-05,0,0.22650917807644247,Nonawardee
N Jaitly,0,3.806913354652048e-05,2,3061.59375,5.710370031978072e-05,3912.590375000001,0.2256783132863249,8,6.0417248374816815e-05,5843.2612530383985,12164.92142857329,0.001876216,1.3788350876858034e-09,4,1.4234173923869155e-05,1.4845122294427447e-10,0.6131848608863932,0.6070105070765257,5865,8.235406631860881e-05,0,0.22651253449726594,Nonawardee
G Dudek,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3745.5483750000008,0,8,6.014793510580273e-05,5830.412172754151,12163.838095239957,0.001858468,0,2,1.0434845161372252e-05,0,0.61317693,0.6067378086214855,5852,7.739560006233149e-05,0,0.22650694051782055,Nonawardee
M Guan,0,5.710370031978072e-05,3,3061.15625,5.710370031978072e-05,3798.3631250000003,0,8,5.971265914081303e-05,5826.458322149171,12164.338095239957,0.001875102,0,6,1.493751808384036e-05,0,0.6131785159100283,0.6068259331755843,5848,8.170564849574702e-05,0,0.22650805929160558,Nonawardee
A Krizhevsky,0,3.806913354652048e-05,2,3062.59375,9.51728338663012e-05,4125.077625,0.4062209639153849,8,6.256201259353609e-05,5850.406856735182,12166.588095239957,0.00191159,9.26939500553741e-09,8,2.302504454435582e-05,2.174615988491861e-10,0.6131959645950319,0.6073920505272018,5872,9.414047691495248e-05,0,0.2265203665326994,Nonawardee
Jl Ba,0,3.806913354652048e-05,2,3060.90625,3.806913354652048e-05,3695.190125000001,0,8,5.905699784385579e-05,5831.508300978662,12163.838095239957,0.001857631,0,2,1.1243573174623136e-05,0,0.61317693,0.6067378086214855,5853,7.635612519516248e-05,0,0.22650694051782055,Nonawardee
S Osindero,0,5.075884472869397e-05,3,3061.96875,7.613826709304096e-05,4123.235250000001,0.2256783132863249,8,6.411026588022267e-05,5820.804411110414,12165.588095239957,0.001896067,2.5362514021665877e-09,8,1.834736514611908e-05,1.5096734536705874e-10,0.6131896196186669,0.6071405047178496,5843,0.000128397,0,0.22651589101756195,Nonawardee
